职位,薪资,工作时间,公司,工作地点,所在城市
nlp算法工程师,20k-40k,3-5年,北京新美互通科技有限公司,东城区东四北大街107号科林大厦B座,北京
资深/高级nlp算法工程师,30k-40k,3-5年,上海泛微网络科技股份有限公司,泛微软件园,上海
【实习】语音合成算法工程师,6k-8k,在校/应届,北京三快在线科技有限公司,望京东路科创大厦,北京
SLAM算法研发工程师,25k-50k,3-5年,北京梦想绽放技术有限公司,海淀北一街2号爱奇艺创新大厦4层,北京
Slam视觉算法工程师,25k-50k,3-5年,北京梦想绽放技术有限公司,爱奇艺创新大厦3层,北京
推荐算法工程师,40k-60k,3-5年,北京点众科技股份有限公司,花园东路11号泰兴大厦3层302室,北京
数据算法工程师,20k-35k,3-5年,北京中电博亚科技有限公司,西小口路66号东升科技园北领地B-2号楼,北京
高级图像算法工程师,25k-50k,不限,广州市幸福网络技术有限公司,科韵路北段 大学科技园A区B栋,广州
数据算法工程师,20k-35k,3-5年,北京中电博亚科技有限公司,西小口路66号东升科技园北领地B-2号楼,北京
高级图像算法工程师,25k-50k,不限,广州市幸福网络技术有限公司,科韵路北段 大学科技园A区B栋,广州
推荐系统算法/开发工程师,30k-50k,3-5年,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
GPU算法优化工程师,30k-50k,1-3年,深圳元戎启行科技有限公司,中国电子大厦,北京
计算机视觉算法工程师,10k-20k,1-3年,重庆泓宝科技股份有限公司,泰山大道西段二号贝蒙盘古6栋2层,重庆
3D视觉算法工程师（工业视觉 校招/社招）,22k-40k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
视觉算法工程师（传统图像 校招/社招）,22k-40k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
机器人算法工程师（机械臂运动规划 社招/校招）,22k-40k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
资深AI算法工程师,18k-32k,不限,中山华定科技有限公司,东区兴政路1号中环广场1座,中山
推荐算法工程师(J27876),30k-40k,3-5年,五八同城信息技术有限公司,IT电子城,北京
cv算法工程师,20k-40k,在校/应届,杭州睿琪软件有限公司,杭州杭州市六和路368号（海外高层次人才创新创业基地）B2019,杭州
三维视觉算法工程师,20k-40k,不限,香港中文大学（深圳）未来智联网络研究院,福保街道路市花路5号，长富金茂大厦1栋4603、4605,深圳
感知算法工程师-自动驾驶(R7383),25k-40k,3-5年,广州宸祺出行科技有限公司,广州市海珠区琶洲街道阅江西路370号广报中心北塔（2号楼）20楼,广州
